electricity_kwh,renewable_pct,gas_m3,car_km,public_transport_km,short_haul_flights,long_haul_flights,vehicle_factor,diet_value,food_waste_mult,shopping_value,clothing_items,streaming_hours,carbon_footprint
405.0,6.0,184.0,967.0,502.0,6.0,2.0,0.171,1.9,1.15,1.5,30.0,2.0,13.96
438.0,68.0,54.0,1977.0,85.0,3.0,3.0,0.1,1.7,1.0,1.1,2.0,8.0,9.32
260.0,40.0,130.0,50.0,447.0,6.0,0.0,0.0,2.5,0.9,0.72,26.0,6.0,8.04
82.0,76.0,55.0,1967.0,551.0,2.0,3.0,0.192,3.3,1.15,1.5,13.0,7.0,13.92
398.0,97.0,190.0,488.0,319.0,4.0,3.0,0.171,1.7,0.9,0.3,41.0,5.0,10.12
491.0,82.0,3.0,822.0,932.0,6.0,2.0,0.192,1.7,0.9,0.3,60.0,2.0,8.28
447.0,48.0,136.0,1674.0,758.0,3.0,2.0,0.171,1.5,0.9,0.72,2.0,4.0,11.5
463.0,47.0,163.0,2189.0,79.0,2.0,3.0,0.171,1.9,1.0,0.72,24.0,7.0,14.06
178.0,52.0,41.0,2595.0,508.0,2.0,4.0,0.192,2.5,1.0,0.3,0.0,2.0,13.1
236.0,72.0,100.0,1622.0,904.0,3.0,1.0,0.171,2.5,1.0,0.72,28.0,8.0,11.28
375.0,71.0,197.0,885.0,402.0,5.0,0.0,0.1,3.3,1.0,1.5,47.0,10.0,12.33
909.0,18.0,119.0,898.0,40.0,4.0,3.0,0.0,2.5,0.9,0.72,41.0,10.0,11.84
886.0,7.0,80.0,2456.0,123.0,5.0,0.0,0.0,1.5,1.15,0.72,25.0,8.0,8.95
275.0,69.0,86.0,1184.0,6.0,2.0,2.0,0.05,1.5,0.9,1.1,26.0,1.0,7.22
748.0,78.0,6.0,1111.0,732.0,0.0,4.0,0.05,1.7,0.9,1.5,5.0,1.0,7.64
950.0,52.0,93.0,1891.0,614.0,0.0,2.0,0.192,1.7,1.15,1.1,7.0,11.0,13.18
284.0,27.0,188.0,2579.0,662.0,6.0,0.0,0.192,1.9,0.9,0.72,14.0,2.0,14.63
442.0,92.0,127.0,1300.0,530.0,1.0,2.0,0.05,2.5,0.9,1.1,43.0,6.0,9.5
292.0,55.0,159.0,1724.0,681.0,2.0,1.0,0.05,3.3,1.0,1.1,9.0,12.0,10.93
597.0,76.0,121.0,1021.0,701.0,6.0,0.0,0.05,3.3,1.15,0.3,6.0,9.0,9.41
843.0,39.0,128.0,968.0,225.0,6.0,1.0,0.171,1.9,1.0,1.1,16.0,8.0,11.78
692.0,20.0,96.0,662.0,988.0,3.0,3.0,0.0,3.3,1.15,1.5,43.0,6.0,13.52
633.0,29.0,178.0,2653.0,879.0,0.0,3.0,0.0,3.3,1.0,0.72,53.0,6.0,13.05
121.0,25.0,137.0,650.0,799.0,0.0,1.0,0.1,1.9,0.9,0.72,55.0,12.0,8.83
872.0,32.0,13.0,1120.0,749.0,0.0,3.0,0.171,1.9,1.15,0.3,24.0,12.0,10.67
390.0,66.0,32.0,827.0,572.0,6.0,3.0,0.192,1.9,0.9,0.72,51.0,2.0,9.75
656.0,48.0,64.0,1086.0,286.0,3.0,3.0,0.192,3.3,1.0,1.1,48.0,3.0,13.07
251.0,48.0,126.0,461.0,781.0,2.0,4.0,0.192,2.5,1.15,1.1,32.0,2.0,12.05
399.0,86.0,76.0,735.0,595.0,4.0,4.0,0.0,3.3,1.0,1.1,48.0,0.0,10.55
595.0,47.0,157.0,1967.0,657.0,4.0,2.0,0.171,1.7,0.9,1.1,37.0,3.0,14.16
878.0,99.0,125.0,2815.0,236.0,3.0,4.0,0.05,1.9,0.9,0.3,22.0,8.0,9.79
715.0,22.0,31.0,477.0,64.0,3.0,2.0,0.192,1.7,0.9,0.3,20.0,0.0,7.97
11.0,37.0,4.0,1743.0,31.0,4.0,3.0,0.05,1.9,1.0,1.5,4.0,2.0,7.1
317.0,69.0,175.0,1747.0,410.0,2.0,0.0,0.171,1.9,1.0,0.3,46.0,10.0,11.32
302.0,92.0,21.0,2305.0,224.0,4.0,1.0,0.171,2.5,0.9,0.3,18.0,2.0,9.57
333.0,60.0,127.0,569.0,202.0,6.0,1.0,0.1,1.5,1.0,0.3,20.0,11.0,7.77
267.0,71.0,98.0,1985.0,596.0,2.0,1.0,0.05,3.3,0.9,1.5,28.0,12.0,10.07
353.0,57.0,123.0,654.0,520.0,4.0,1.0,0.05,2.5,1.0,0.3,57.0,0.0,8.97
654.0,44.0,131.0,2062.0,651.0,5.0,3.0,0.192,3.3,1.0,0.3,14.0,7.0,15.92
532.0,7.0,41.0,2179.0,755.0,1.0,0.0,0.171,1.7,1.15,1.1,47.0,6.0,12.24
490.0,60.0,192.0,1787.0,920.0,2.0,4.0,0.1,1.9,1.15,0.72,38.0,4.0,13.87
635.0,32.0,122.0,1305.0,429.0,2.0,3.0,0.192,1.9,1.0,0.3,6.0,0.0,11.95
851.0,86.0,13.0,2345.0,525.0,2.0,3.0,0.0,1.7,0.9,0.72,54.0,9.0,6.8
190.0,56.0,177.0,2289.0,128.0,1.0,1.0,0.171,1.5,0.9,0.72,33.0,5.0,12.13
421.0,24.0,30.0,1797.0,229.0,5.0,4.0,0.171,3.3,0.9,1.1,59.0,10.0,14.4
225.0,90.0,84.0,1676.0,772.0,0.0,2.0,0.1,3.3,1.0,0.72,3.0,7.0,9.79
704.0,55.0,196.0,1525.0,55.0,3.0,0.0,0.192,2.5,0.9,1.5,18.0,5.0,13.31
145.0,21.0,185.0,1539.0,982.0,4.0,0.0,0.05,1.7,1.0,0.72,14.0,6.0,9.2
377.0,29.0,83.0,686.0,453.0,6.0,2.0,0.05,1.9,1.15,1.1,13.0,5.0,9.25
488.0,47.0,30.0,1050.0,915.0,5.0,4.0,0.0,1.5,1.0,1.1,26.0,5.0,8.8
360.0,5.0,172.0,242.0,414.0,3.0,3.0,0.171,3.3,1.0,1.1,57.0,10.0,13.57
290.0,82.0,82.0,2277.0,836.0,2.0,2.0,0.0,1.7,0.9,1.5,1.0,7.0,7.18
14.0,69.0,181.0,1819.0,828.0,6.0,4.0,0.192,1.7,1.0,1.5,17.0,8.0,15.38
22.0,88.0,123.0,2477.0,218.0,3.0,4.0,0.192,1.5,1.15,0.72,35.0,6.0,14.37
687.0,84.0,70.0,1268.0,612.0,5.0,3.0,0.0,1.7,1.15,0.3,7.0,0.0,7.26
927.0,18.0,120.0,2300.0,949.0,0.0,2.0,0.171,1.9,1.15,1.1,34.0,3.0,16.24
106.0,43.0,52.0,2392.0,553.0,4.0,0.0,0.1,2.5,1.0,0.3,13.0,10.0,8.44
917.0,51.0,196.0,899.0,930.0,1.0,3.0,0.0,1.7,0.9,0.72,21.0,11.0,11.27
973.0,50.0,105.0,702.0,39.0,5.0,1.0,0.0,1.7,1.15,1.1,37.0,0.0,9.23
563.0,56.0,64.0,2789.0,259.0,2.0,1.0,0.192,3.3,0.9,1.5,47.0,6.0,15.34
584.0,90.0,154.0,151.0,659.0,1.0,0.0,0.05,3.3,1.0,1.1,13.0,1.0,8.67
62.0,35.0,0.0,974.0,527.0,4.0,1.0,0.1,1.9,0.9,0.72,59.0,12.0,6.83
486.0,94.0,100.0,2604.0,415.0,4.0,3.0,0.0,1.7,1.15,1.1,22.0,3.0,8.34
747.0,25.0,24.0,995.0,641.0,5.0,4.0,0.171,2.5,1.15,1.5,57.0,0.0,14.06
743.0,17.0,179.0,740.0,192.0,4.0,0.0,0.0,1.5,1.0,1.5,32.0,5.0,10.53
658.0,55.0,77.0,9.0,244.0,4.0,1.0,0.1,1.5,0.9,1.5,20.0,0.0,7.39
729.0,53.0,90.0,941.0,573.0,5.0,3.0,0.171,1.7,1.15,1.1,7.0,2.0,11.36
675.0,12.0,176.0,2923.0,672.0,3.0,1.0,0.0,1.7,1.15,1.5,12.0,7.0,11.31
993.0,25.0,139.0,2503.0,170.0,2.0,2.0,0.0,1.7,0.9,1.1,1.0,12.0,10.33
52.0,33.0,186.0,218.0,744.0,0.0,4.0,0.0,1.9,1.15,0.3,8.0,12.0,9.62
762.0,92.0,64.0,1732.0,449.0,1.0,1.0,0.1,2.5,0.9,0.72,17.0,0.0,8.0
122.0,50.0,20.0,1683.0,874.0,0.0,2.0,0.05,1.5,1.0,0.72,48.0,5.0,6.86
936.0,13.0,10.0,1070.0,193.0,0.0,1.0,0.0,3.3,1.15,0.3,55.0,2.0,9.6
406.0,33.0,81.0,2138.0,594.0,4.0,3.0,0.192,1.5,1.0,0.3,42.0,5.0,13.26
637.0,57.0,55.0,2919.0,293.0,0.0,1.0,0.0,3.3,0.9,1.5,28.0,11.0,8.31
653.0,4.0,102.0,604.0,550.0,0.0,3.0,0.1,3.3,0.9,0.72,39.0,0.0,12.05
389.0,26.0,7.0,1334.0,752.0,4.0,4.0,0.171,3.3,1.0,0.72,25.0,10.0,12.43
427.0,52.0,38.0,1953.0,330.0,4.0,2.0,0.171,1.5,1.15,1.5,50.0,4.0,11.97
256.0,5.0,147.0,2677.0,870.0,0.0,4.0,0.05,1.5,1.0,0.72,58.0,8.0,12.12
876.0,60.0,165.0,2579.0,412.0,2.0,4.0,0.171,2.5,1.15,1.1,56.0,9.0,18.26
743.0,17.0,113.0,2283.0,958.0,2.0,1.0,0.192,3.3,1.15,0.3,23.0,12.0,16.51
199.0,79.0,22.0,2355.0,608.0,3.0,4.0,0.0,1.7,1.0,1.1,45.0,4.0,7.74
634.0,45.0,108.0,1181.0,668.0,6.0,3.0,0.171,3.3,1.0,0.72,60.0,8.0,14.6
241.0,32.0,52.0,277.0,740.0,3.0,0.0,0.171,2.5,1.15,1.1,32.0,4.0,8.03
164.0,1.0,72.0,113.0,999.0,4.0,1.0,0.192,3.3,0.9,1.5,17.0,4.0,9.25
425.0,100.0,50.0,1041.0,285.0,4.0,3.0,0.171,1.7,0.9,0.72,32.0,0.0,8.63
78.0,92.0,7.0,2292.0,328.0,3.0,0.0,0.1,2.5,1.0,1.5,52.0,4.0,8.76
41.0,34.0,29.0,439.0,922.0,4.0,1.0,0.1,3.3,1.15,0.72,8.0,4.0,7.92
584.0,77.0,52.0,848.0,247.0,3.0,0.0,0.192,1.9,1.0,0.72,47.0,4.0,7.81
695.0,72.0,133.0,2489.0,236.0,1.0,4.0,0.05,1.7,1.15,0.3,37.0,11.0,10.82
709.0,58.0,170.0,1130.0,69.0,4.0,3.0,0.05,2.5,1.15,0.3,40.0,9.0,11.81
203.0,48.0,183.0,2260.0,530.0,4.0,3.0,0.1,2.5,1.15,1.5,18.0,12.0,14.5
628.0,60.0,65.0,1955.0,364.0,2.0,4.0,0.1,1.9,1.0,0.3,4.0,11.0,10.15
142.0,80.0,180.0,2654.0,427.0,6.0,1.0,0.1,1.9,1.0,1.5,2.0,10.0,12.26
23.0,31.0,119.0,1470.0,998.0,5.0,0.0,0.0,1.9,1.0,0.3,39.0,6.0,7.04
682.0,30.0,51.0,2165.0,161.0,1.0,2.0,0.192,3.3,0.9,0.3,49.0,9.0,13.88
903.0,79.0,191.0,816.0,238.0,0.0,3.0,0.0,2.5,0.9,0.3,11.0,5.0,9.33
455.0,29.0,186.0,1686.0,438.0,2.0,4.0,0.05,3.3,0.9,0.72,7.0,5.0,12.94
617.0,41.0,62.0,899.0,326.0,2.0,3.0,0.05,1.5,0.9,1.1,41.0,3.0,8.96
201.0,63.0,77.0,439.0,121.0,3.0,1.0,0.192,2.5,1.0,0.72,9.0,2.0,7.39
756.0,22.0,100.0,2694.0,267.0,0.0,3.0,0.171,2.5,0.9,1.1,11.0,9.0,15.7
728.0,30.0,94.0,93.0,127.0,6.0,2.0,0.05,1.5,0.9,0.72,59.0,5.0,9.56
1000.0,49.0,153.0,84.0,6.0,6.0,4.0,0.192,1.5,1.0,1.5,57.0,3.0,12.78
818.0,65.0,186.0,1803.0,24.0,2.0,0.0,0.0,1.9,1.15,1.1,19.0,5.0,8.85
367.0,73.0,53.0,1520.0,830.0,3.0,1.0,0.0,1.5,1.15,1.5,9.0,0.0,6.58
129.0,38.0,163.0,2456.0,1.0,5.0,1.0,0.0,3.3,1.0,0.72,14.0,10.0,9.32
403.0,35.0,147.0,1992.0,446.0,0.0,0.0,0.1,1.5,1.0,1.1,45.0,11.0,10.41
174.0,96.0,187.0,1591.0,176.0,1.0,0.0,0.192,2.5,1.0,0.3,8.0,0.0,10.54
641.0,69.0,126.0,124.0,106.0,5.0,3.0,0.0,1.7,0.9,0.72,49.0,1.0,9.14
796.0,46.0,28.0,1555.0,672.0,0.0,1.0,0.171,2.5,1.0,0.3,36.0,12.0,10.46
787.0,20.0,183.0,170.0,128.0,6.0,1.0,0.192,1.5,1.0,1.1,34.0,8.0,11.6
999.0,76.0,5.0,0.0,395.0,2.0,4.0,0.0,1.7,0.9,1.5,15.0,11.0,7.68
775.0,88.0,164.0,1879.0,412.0,4.0,3.0,0.0,1.9,0.9,1.5,40.0,11.0,10.52
237.0,84.0,65.0,2582.0,355.0,1.0,4.0,0.1,3.3,0.9,0.72,13.0,0.0,11.31
553.0,25.0,170.0,1906.0,507.0,4.0,0.0,0.0,1.9,1.0,0.72,53.0,6.0,9.84
362.0,3.0,33.0,1200.0,872.0,5.0,0.0,0.1,1.9,1.0,0.3,40.0,6.0,8.15
87.0,47.0,147.0,1071.0,110.0,1.0,4.0,0.05,2.5,0.9,0.72,11.0,5.0,9.6
145.0,62.0,114.0,1331.0,286.0,1.0,1.0,0.192,1.9,1.0,1.1,3.0,3.0,9.6
853.0,92.0,187.0,411.0,198.0,0.0,4.0,0.05,3.3,1.15,1.1,20.0,6.0,12.1
842.0,82.0,104.0,1040.0,413.0,5.0,1.0,0.171,2.5,1.0,0.72,13.0,7.0,10.08
480.0,37.0,149.0,276.0,962.0,4.0,2.0,0.0,1.5,1.0,0.72,36.0,0.0,9.68
551.0,58.0,58.0,2915.0,710.0,4.0,3.0,0.0,2.5,0.9,0.72,54.0,3.0,9.2
973.0,6.0,66.0,1852.0,176.0,1.0,3.0,0.05,1.7,1.15,1.5,18.0,7.0,12.27
333.0,34.0,134.0,447.0,259.0,6.0,1.0,0.05,1.7,1.0,0.3,16.0,2.0,7.85
925.0,94.0,151.0,1849.0,662.0,6.0,0.0,0.05,2.5,0.9,1.1,53.0,0.0,10.11
148.0,82.0,3.0,1504.0,346.0,6.0,4.0,0.192,1.7,0.9,0.3,6.0,12.0,9.42
597.0,68.0,46.0,2168.0,752.0,3.0,3.0,0.171,1.9,1.0,1.1,19.0,12.0,12.64
717.0,74.0,144.0,2852.0,208.0,3.0,0.0,0.1,1.7,1.0,0.72,57.0,7.0,11.3
411.0,43.0,122.0,829.0,585.0,4.0,0.0,0.192,3.3,1.0,0.3,38.0,8.0,10.85
916.0,3.0,83.0,1723.0,502.0,3.0,4.0,0.0,1.9,1.0,0.3,17.0,11.0,11.36
452.0,91.0,107.0,1290.0,557.0,0.0,0.0,0.1,1.9,1.0,1.1,26.0,3.0,7.83
709.0,61.0,9.0,2133.0,784.0,2.0,4.0,0.1,2.5,1.0,1.1,53.0,2.0,11.95
150.0,44.0,16.0,2912.0,606.0,6.0,0.0,0.171,2.5,1.0,0.72,19.0,7.0,11.78
642.0,16.0,123.0,31.0,879.0,4.0,1.0,0.171,2.5,1.0,1.5,4.0,0.0,10.71
642.0,30.0,47.0,2176.0,179.0,6.0,2.0,0.1,1.5,0.9,1.5,6.0,5.0,10.72
669.0,51.0,52.0,2134.0,490.0,0.0,0.0,0.0,1.9,0.9,0.72,7.0,10.0,5.56
631.0,79.0,10.0,803.0,623.0,5.0,1.0,0.05,2.5,1.0,1.5,4.0,12.0,7.43
435.0,28.0,36.0,2651.0,131.0,3.0,3.0,0.171,1.9,0.9,0.72,22.0,3.0,12.74
961.0,20.0,142.0,2385.0,800.0,1.0,0.0,0.171,2.5,1.15,1.1,25.0,6.0,16.28
15.0,29.0,106.0,390.0,45.0,1.0,4.0,0.0,2.5,1.15,0.72,36.0,11.0,9.21
352.0,66.0,139.0,2909.0,615.0,4.0,4.0,0.171,2.5,1.0,1.1,33.0,2.0,16.96
516.0,62.0,181.0,494.0,988.0,4.0,1.0,0.1,2.5,1.0,0.72,51.0,11.0,11.38
524.0,37.0,173.0,2242.0,584.0,5.0,2.0,0.0,3.3,0.9,1.5,4.0,8.0,11.86
195.0,97.0,154.0,2677.0,252.0,3.0,0.0,0.0,1.5,0.9,1.1,33.0,11.0,6.97
165.0,75.0,1.0,525.0,124.0,4.0,4.0,0.05,2.5,1.15,1.1,3.0,4.0,7.73
824.0,4.0,19.0,189.0,960.0,5.0,3.0,0.171,1.9,0.9,0.72,49.0,11.0,11.06
447.0,84.0,156.0,1861.0,616.0,3.0,3.0,0.0,3.3,1.0,0.72,59.0,12.0,11.51
686.0,64.0,20.0,595.0,515.0,5.0,1.0,0.1,3.3,0.9,0.3,59.0,1.0,8.39
735.0,77.0,66.0,925.0,68.0,4.0,4.0,0.0,3.3,1.15,1.5,53.0,10.0,11.59
651.0,100.0,64.0,2719.0,311.0,2.0,0.0,0.1,1.7,1.0,1.5,8.0,8.0,8.57
767.0,90.0,150.0,1467.0,953.0,6.0,3.0,0.0,3.3,1.15,0.3,55.0,2.0,11.93
381.0,24.0,144.0,1921.0,865.0,5.0,1.0,0.0,3.3,1.0,1.1,30.0,0.0,11.06
2.0,18.0,187.0,1230.0,969.0,0.0,4.0,0.171,1.7,0.9,1.5,23.0,3.0,12.89
760.0,33.0,151.0,257.0,325.0,4.0,1.0,0.0,1.5,1.15,0.72,26.0,3.0,9.53
17.0,5.0,136.0,741.0,911.0,2.0,3.0,0.0,1.7,1.15,1.5,28.0,8.0,9.72
413.0,95.0,72.0,1849.0,644.0,2.0,4.0,0.171,2.5,1.15,1.5,9.0,11.0,13.29
842.0,24.0,197.0,966.0,223.0,2.0,0.0,0.1,2.5,1.15,1.1,33.0,4.0,12.84
724.0,88.0,17.0,2987.0,862.0,6.0,0.0,0.05,1.9,0.9,1.5,31.0,3.0,8.0
90.0,74.0,163.0,2915.0,815.0,5.0,4.0,0.171,3.3,1.0,1.5,50.0,1.0,18.87
691.0,34.0,26.0,342.0,898.0,5.0,0.0,0.0,2.5,1.0,1.1,36.0,11.0,8.45
519.0,66.0,114.0,2673.0,414.0,5.0,3.0,0.05,2.5,1.15,1.1,34.0,8.0,12.25
509.0,34.0,146.0,2116.0,772.0,5.0,1.0,0.171,1.5,1.0,1.5,49.0,6.0,14.65
779.0,7.0,129.0,1524.0,717.0,3.0,2.0,0.192,2.5,1.15,0.3,18.0,5.0,14.92
202.0,33.0,70.0,1230.0,505.0,4.0,1.0,0.05,3.3,1.0,1.1,7.0,2.0,8.85
454.0,36.0,99.0,1421.0,687.0,5.0,1.0,0.0,1.7,1.0,1.1,48.0,5.0,8.91
671.0,89.0,59.0,998.0,334.0,4.0,3.0,0.171,1.9,0.9,0.3,55.0,11.0,9.5
887.0,51.0,177.0,226.0,198.0,1.0,1.0,0.1,3.3,0.9,1.1,16.0,8.0,10.96
567.0,15.0,92.0,2668.0,704.0,6.0,4.0,0.0,1.7,1.15,0.3,58.0,10.0,11.29
681.0,100.0,170.0,300.0,23.0,6.0,1.0,0.171,1.9,0.9,1.1,50.0,10.0,9.4
581.0,66.0,103.0,1663.0,936.0,1.0,2.0,0.1,2.5,1.0,0.3,17.0,8.0,10.24
694.0,74.0,199.0,1739.0,332.0,2.0,4.0,0.192,1.9,1.15,0.3,7.0,2.0,14.23
195.0,61.0,128.0,868.0,577.0,0.0,2.0,0.1,1.5,0.9,0.3,6.0,6.0,7.4
546.0,61.0,88.0,62.0,713.0,6.0,1.0,0.0,1.7,0.9,0.3,13.0,6.0,6.89
785.0,71.0,192.0,1477.0,380.0,0.0,1.0,0.05,1.7,1.0,0.3,45.0,10.0,9.55
961.0,8.0,23.0,2545.0,589.0,2.0,2.0,0.171,1.9,1.15,1.1,1.0,9.0,14.85
777.0,30.0,23.0,2523.0,447.0,3.0,4.0,0.0,1.5,0.9,1.5,32.0,0.0,9.45
703.0,13.0,157.0,2474.0,465.0,1.0,4.0,0.192,1.9,1.0,0.3,38.0,7.0,17.32
292.0,77.0,26.0,2884.0,567.0,0.0,2.0,0.192,1.9,1.0,0.72,38.0,3.0,12.54
558.0,60.0,129.0,2648.0,777.0,5.0,4.0,0.192,1.7,0.9,1.1,28.0,9.0,16.68
9.0,14.0,150.0,907.0,311.0,3.0,2.0,0.171,1.5,1.0,1.5,44.0,10.0,10.76
644.0,88.0,50.0,342.0,993.0,4.0,1.0,0.0,3.3,0.9,1.1,15.0,1.0,7.7
267.0,23.0,111.0,719.0,568.0,2.0,3.0,0.0,2.5,1.15,1.5,13.0,9.0,10.39
627.0,60.0,160.0,1125.0,816.0,6.0,0.0,0.0,1.9,0.9,0.3,3.0,6.0,7.91
668.0,53.0,74.0,1956.0,909.0,2.0,1.0,0.192,1.9,1.0,0.72,50.0,0.0,12.53
528.0,43.0,42.0,2404.0,546.0,0.0,0.0,0.192,1.9,1.15,0.72,18.0,11.0,11.55
14.0,8.0,31.0,1493.0,158.0,2.0,4.0,0.171,2.5,0.9,0.3,4.0,10.0,9.38
137.0,28.0,70.0,1819.0,800.0,2.0,1.0,0.192,1.7,0.9,1.1,32.0,6.0,10.91
996.0,18.0,194.0,663.0,679.0,5.0,1.0,0.192,1.7,1.15,0.3,0.0,8.0,13.02
907.0,50.0,27.0,755.0,828.0,4.0,1.0,0.1,2.5,1.15,1.1,22.0,7.0,9.78
42.0,40.0,75.0,2851.0,954.0,3.0,3.0,0.1,1.5,1.0,1.1,41.0,12.0,11.68
466.0,91.0,196.0,274.0,376.0,5.0,2.0,0.1,3.3,1.15,0.3,52.0,4.0,11.74
819.0,51.0,91.0,356.0,595.0,3.0,2.0,0.0,1.5,1.0,0.3,8.0,6.0,7.66
617.0,66.0,197.0,1139.0,783.0,0.0,4.0,0.171,1.7,1.15,1.5,42.0,11.0,14.56
10.0,17.0,125.0,361.0,719.0,0.0,4.0,0.1,1.5,1.0,1.5,31.0,9.0,9.67
704.0,95.0,93.0,1550.0,894.0,5.0,0.0,0.171,2.5,1.15,0.3,51.0,1.0,10.83
871.0,79.0,30.0,350.0,568.0,6.0,1.0,0.192,1.5,1.0,0.72,2.0,5.0,6.48
259.0,12.0,55.0,2746.0,995.0,2.0,4.0,0.0,1.9,1.15,0.3,17.0,9.0,8.55
220.0,83.0,85.0,1360.0,798.0,0.0,3.0,0.1,2.5,1.15,1.5,47.0,6.0,11.33
466.0,39.0,166.0,1718.0,96.0,2.0,1.0,0.05,1.9,1.0,1.1,26.0,1.0,9.93
545.0,5.0,170.0,675.0,263.0,0.0,1.0,0.192,1.5,1.15,0.3,40.0,7.0,10.78
237.0,81.0,21.0,2221.0,635.0,6.0,2.0,0.171,1.7,0.9,1.5,24.0,10.0,11.49
332.0,96.0,174.0,1460.0,794.0,1.0,0.0,0.05,1.7,1.0,0.3,20.0,11.0,7.71
75.0,5.0,85.0,83.0,183.0,0.0,4.0,0.0,1.5,1.0,1.1,38.0,8.0,8.0
358.0,89.0,13.0,2569.0,68.0,1.0,0.0,0.0,1.5,0.9,1.1,40.0,1.0,3.89
943.0,9.0,138.0,1562.0,492.0,0.0,1.0,0.171,3.3,1.0,0.3,44.0,8.0,15.11
66.0,5.0,23.0,1849.0,132.0,4.0,0.0,0.0,3.3,1.15,0.72,26.0,0.0,6.44
54.0,54.0,4.0,1147.0,139.0,3.0,2.0,0.192,2.5,0.9,1.1,51.0,3.0,9.02
835.0,73.0,86.0,2901.0,237.0,6.0,0.0,0.171,1.5,0.9,0.72,57.0,7.0,13.0
617.0,8.0,103.0,1438.0,261.0,1.0,4.0,0.05,1.9,1.0,0.3,46.0,6.0,11.23
387.0,67.0,26.0,2590.0,464.0,0.0,1.0,0.1,1.5,1.0,0.72,8.0,8.0,7.68
176.0,34.0,198.0,743.0,318.0,3.0,1.0,0.0,3.3,0.9,1.5,32.0,0.0,10.72
116.0,10.0,57.0,1924.0,311.0,5.0,1.0,0.05,1.7,0.9,0.72,51.0,3.0,7.63
273.0,96.0,131.0,2605.0,183.0,1.0,2.0,0.0,2.5,0.9,1.5,9.0,10.0,8.19
95.0,46.0,128.0,1836.0,689.0,4.0,1.0,0.05,2.5,1.15,0.72,44.0,11.0,10.25
817.0,74.0,154.0,867.0,721.0,1.0,1.0,0.171,3.3,0.9,1.5,25.0,2.0,11.99
97.0,55.0,90.0,129.0,268.0,0.0,1.0,0.1,3.3,0.9,1.1,0.0,7.0,7.1
921.0,34.0,39.0,837.0,892.0,5.0,3.0,0.1,2.5,1.0,1.1,28.0,12.0,12.0
346.0,0.0,140.0,2943.0,395.0,2.0,2.0,0.192,1.7,1.15,0.72,47.0,5.0,16.46
225.0,100.0,105.0,1774.0,359.0,6.0,1.0,0.192,3.3,1.0,0.3,2.0,12.0,11.79
528.0,39.0,163.0,1982.0,686.0,1.0,0.0,0.192,2.5,0.9,1.1,7.0,3.0,13.32
708.0,62.0,157.0,143.0,840.0,1.0,0.0,0.192,3.3,0.9,1.1,29.0,10.0,10.18
44.0,10.0,83.0,2365.0,606.0,1.0,4.0,0.1,1.9,1.15,1.5,3.0,6.0,11.52
422.0,50.0,62.0,1477.0,186.0,2.0,0.0,0.1,3.3,1.15,0.72,24.0,1.0,9.32
290.0,93.0,6.0,2538.0,520.0,0.0,2.0,0.0,2.5,1.0,0.72,38.0,7.0,5.96
903.0,25.0,55.0,1995.0,533.0,2.0,3.0,0.0,1.7,0.9,1.1,26.0,5.0,9.7
445.0,92.0,43.0,1695.0,46.0,1.0,2.0,0.05,1.9,1.0,0.3,52.0,6.0,6.75
155.0,31.0,45.0,1408.0,434.0,3.0,4.0,0.1,3.3,1.0,1.5,49.0,10.0,12.19
225.0,44.0,70.0,225.0,623.0,2.0,4.0,0.0,2.5,0.9,1.5,30.0,7.0,9.58
966.0,64.0,4.0,1279.0,37.0,1.0,3.0,0.0,1.5,0.9,1.1,5.0,3.0,6.13
938.0,63.0,193.0,1849.0,238.0,2.0,0.0,0.05,3.3,0.9,0.3,28.0,5.0,10.7
314.0,36.0,59.0,1741.0,920.0,6.0,3.0,0.171,3.3,0.9,1.5,29.0,9.0,14.26
245.0,9.0,177.0,415.0,659.0,0.0,2.0,0.1,2.5,1.15,0.72,22.0,10.0,10.82
184.0,7.0,31.0,1410.0,37.0,1.0,0.0,0.171,3.3,1.0,0.3,13.0,8.0,8.4
594.0,82.0,5.0,106.0,394.0,5.0,3.0,0.0,1.7,1.0,1.1,11.0,9.0,6.63
422.0,5.0,78.0,2089.0,268.0,5.0,1.0,0.192,1.9,0.9,1.5,51.0,2.0,13.84
561.0,78.0,101.0,2906.0,269.0,2.0,1.0,0.05,3.3,1.0,1.1,54.0,12.0,11.05
857.0,91.0,190.0,1929.0,131.0,0.0,3.0,0.171,1.7,1.15,1.5,39.0,9.0,14.25
279.0,43.0,193.0,613.0,937.0,3.0,4.0,0.171,1.9,1.0,0.3,20.0,9.0,12.04
843.0,8.0,15.0,1341.0,849.0,0.0,1.0,0.192,1.5,1.15,1.5,9.0,4.0,11.43
846.0,4.0,191.0,458.0,139.0,4.0,0.0,0.171,1.9,0.9,1.1,21.0,9.0,12.15
881.0,49.0,128.0,2955.0,231.0,1.0,1.0,0.192,2.5,1.15,0.72,6.0,7.0,15.95
598.0,37.0,37.0,2540.0,748.0,4.0,1.0,0.171,1.9,0.9,0.3,27.0,5.0,11.98
80.0,96.0,53.0,1396.0,469.0,5.0,3.0,0.1,3.3,1.0,0.72,26.0,7.0,10.33
337.0,46.0,30.0,2142.0,527.0,6.0,4.0,0.1,3.3,0.9,1.5,20.0,5.0,12.62
412.0,28.0,176.0,2901.0,955.0,2.0,3.0,0.192,1.9,1.0,1.1,42.0,11.0,18.28
